channel_height,spacer_porosity,LCOW_pct_change_avg
0.0005842,0.75,-3.2612985823245895
0.0005842,0.77,-3.651947924870919
0.0005842,0.79,-3.9582026034813254
0.0005842,0.81,-4.188698963677603
0.0005842,0.83,-4.35043902339932
0.0005842,0.85,-4.448958626100739
0.0005842,0.87,-4.488486740236042
0.0005842,0.89,-4.471982787053774
0.0005842,0.91,-4.401187504158623
0.0005842,0.93,-4.27656764202599
0.0005842,0.95,-4.0972139131721
0.0006096,0.75,-2.718291053935965
0.0006096,0.77,-3.045689898600346
0.0006096,0.79,-3.2940287309048832
0.0006096,0.81,-3.471076990806451
0.0006096,0.83,-3.5830632510764255
0.0006096,0.85,-3.634799556411526
0.0006096,0.87,-3.629863167303165
0.0006096,0.89,-3.570625606439998
0.0006096,0.91,-3.458195166791979
0.0006096,0.93,-3.2924585580560617
0.0006096,0.95,-3.0718824977729904
0.000635,0.75,-2.11075667601403
0.000635,0.77,-2.3807740008041622
0.000635,0.79,-2.5762959595778225
0.000635,0.81,-2.7043136007954858
0.000635,0.83,-2.7703354275595387
0.000635,0.85,-2.7785443033143187
0.000635,0.87,-2.7319314740028706
0.000635,0.89,-2.6322523728468803
0.000635,0.91,-2.480098256921722
0.000635,0.93,-2.27474559052025
0.000635,0.95,-2.014044816773867
0.0006604,0.75,-1.4473758591814274
0.0006604,0.77,-1.6648755062509655
0.0006604,0.79,-1.811799955434872
0.0006604,0.81,-1.8944033439458692
0.0006604,0.83,-1.9175675960940186
0.0006604,0.85,-1.8848904022118425
0.0006604,0.87,-1.798786043903133
0.0006604,0.89,-1.6605212672424092
0.0006604,0.91,-1.4700814385604404
0.0006604,0.93,-1.2262310538440846
0.0006604,0.95,-0.9261839122790327
0.0006858,0.75,-0.7352083226311759
0.0006858,0.77,-0.9042435428000622
0.0006858,0.79,-1.006065671033754
0.0006858,0.81,-1.0462576298956958
0.0006858,0.83,-1.0290975913118063
0.0006858,0.85,-0.9576716665660772
0.0006858,0.87,-0.8338551247625345
0.0006858,0.89,-0.6583784636896761
0.0006858,0.91,-0.43075213104407106
0.0006858,0.93,-0.1491789049770566
0.0006858,0.95,0.18975031526814362
0.0007112,0.75,0.01996780870989208
0.0007112,0.77,-0.1040314547366487
0.0007112,0.79,-0.16362669208148262
0.0007112,0.81,-0.16387787734100384
0.0007112,0.83,-0.10847113449527548
0.0007112,0.85,0.0
0.0007112,0.87,0.1601349816660184
0.0007112,0.89,0.37172921432992195
0.0007112,0.91,0.6357497913293876
0.0007112,0.93,0.9545625378636929
0.0007112,0.95,1.3321555080639271
0.0007366,0.75,0.8133566975217589
0.0007366,0.77,0.7315660749073893
0.0007366,0.79,0.7117548207316713
0.0007366,0.81,0.7494460329443882
0.0007366,0.83,0.8413636947227243
0.0007366,0.85,0.9855074434035638
0.0007366,0.87,1.1808998465783247
0.0007366,0.89,1.427805017559298
0.0007366,0.91,1.7276836768661934
0.0007366,0.93,2.0834243735387306
0.0007366,0.95,2.499646104562251
0.000762,0.75,1.6409735801384406
0.000762,0.77,1.599016795795844
0.000762,0.79,1.6169726395542974
0.000762,0.81,1.6908863342093121
0.000762,0.83,1.8179828038580912
0.000762,0.85,1.9967110664824115
0.000762,0.87,2.2265183323365187
0.000762,0.89,2.5081547350079156
0.000762,0.91,2.843567032261839
0.000762,0.93,3.2361867419560895
0.000762,0.95,3.691262749445066
0.0007874,0.75,2.499491543056503
0.0007874,0.77,2.495332385747365
0.0007874,0.79,2.5494068821671645
0.0007874,0.81,2.6581560511446534
0.0007874,0.83,2.819349272650186
0.0007874,0.85,3.0318190647686727
0.0007874,0.87,3.2954385138972944
0.0007874,0.89,3.6114009786832733
0.0007874,0.91,3.9822358478596604
0.0007874,0.93,4.411811129308365
0.0007874,0.95,4.906050796667822
0.0008128,0.75,3.386074064466206
0.0008128,0.77,3.418045460766936
0.0008128,0.79,3.506828493439104
0.0008128,0.81,3.6493435823793012
0.0008128,0.83,3.8437465733530005
0.0008128,0.85,4.089263806694619
0.0008128,0.87,4.386310857851042
0.0008128,0.89,4.736441154667856
0.0008128,0.91,5.142626152036979
0.0008128,0.93,5.6094322282936755
0.0008128,0.95,6.143363096025224
0.0008382,0.75,4.298336666306281
0.0008382,0.77,4.365044904828756
0.0008382,0.79,4.487409952149951
0.0008382,0.81,4.662740468585044
0.0008382,0.83,4.889672122621418
0.0008382,0.85,5.167817443526603
0.0008382,0.87,5.497993811942278
0.0008382,0.89,5.882205232438128
0.0008382,0.91,6.323991441222307
0.0008382,0.93,6.828381869442373
0.0008382,0.95,7.402594300080648
